"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","TIPUTENZA2","Tipologia di utenza","SEXISTAT1","Sesso","ISO","Nazionalità","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITF4","Puglia","USERS","utenti del 1522","OPERATORS","da operatori","T","totale","NRP","Non Indicato","2014","2014",1,,
"ITF4","Puglia","USERS","utenti del 1522","OTH_VALID","altre chiamate valide","T","totale","NRP","Non Indicato","2013","2013",2,,
"ITF4","Puglia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","T","totale","NRP","Non Indicato","2013","2013",61,,
"ITF4","Puglia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","T","totale","NRP","Non Indicato","2014","2014",13,,
"ITF4","Puglia","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2013","2013",9,,
"ITF4","Puglia","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2014","2014",3,,
"ITF4","Puglia","USERS","utenti del 1522","OTH_VALID","altre chiamate valide","NRP","non indicato","NRP","Non Indicato","2013","2013",2,,
"ITF4","Puglia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","NRP","non indicato","NRP","Non Indicato","2013","2013",7,,
"ITF4","Puglia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","NRP","non indicato","NRP","Non Indicato","2014","2014",3,,
"ITF5","Basilicata","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","NRP","Non Indicato","2013","2013",1,,
"ITF5","Basilicata","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","M","maschi","NRP","Non Indicato","2013","2013",1,,
"ITF5","Basilicata","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2013","2013",6,,
"ITF5","Basilicata","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","F","femmine","NRP","Non Indicato","2013","2013",6,,
"ITF5","Basilicata","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2013","2013",9,,
"ITF5","Basilicata","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","T","totale","NRP","Non Indicato","2013","2013",9,,
"ITF5","Basilicata","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2013","2013",2,,
"ITF5","Basilicata","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","NRP","non indicato","NRP","Non Indicato","2013","2013",2,,
"ITF6","Calabria","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","NRP","Non Indicato","2013","2013",5,,
"ITF6","Calabria","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","NRP","Non Indicato","2014","2014",2,,
"ITF6","Calabria","USERS","utenti del 1522","OPERATORS","da operatori","M","maschi","NRP","Non Indicato","2013","2013",1,,
"ITF6","Calabria","USERS","utenti del 1522","OPERATORS","da operatori","M","maschi","NRP","Non Indicato","2014","2014",1,,
"ITF6","Calabria","USERS","utenti del 1522","FRIEND_ACQU","da parenti/amici/conoscenti","M","maschi","NRP","Non Indicato","2014","2014",1,,
"ITF6","Calabria","USERS","utenti del 1522","OTH_VALID","altre chiamate valide","M","maschi","NRP","Non Indicato","2013","2013",1,,
"ITF6","Calabria","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","M","maschi","NRP","Non Indicato","2013","2013",3,,
"ITF6","Calabria","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2013","2013",15,,
"ITF6","Calabria","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2014","2014",3,,
"ITF6","Calabria","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","F","femmine","NRP","Non Indicato","2013","2013",15,,
"ITF6","Calabria","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","F","femmine","NRP","Non Indicato","2014","2014",3,,
"ITF6","Calabria","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2013","2013",24,,
"ITF6","Calabria","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2014","2014",6,,
"ITF6","Calabria","USERS","utenti del 1522","OPERATORS","da operatori","T","totale","NRP","Non Indicato","2013","2013",1,,
"ITF6","Calabria","USERS","utenti del 1522","OPERATORS","da operatori","T","totale","NRP","Non Indicato","2014","2014",1,,
"ITF6","Calabria","USERS","utenti del 1522","FRIEND_ACQU","da parenti/amici/conoscenti","T","totale","NRP","Non Indicato","2014","2014",1,,
"ITF6","Calabria","USERS","utenti del 1522","OTH_VALID","altre chiamate valide","T","totale","NRP","Non Indicato","2013","2013",1,,
"ITF6","Calabria","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","T","totale","NRP","Non Indicato","2013","2013",22,,
"ITF6","Calabria","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","T","totale","NRP","Non Indicato","2014","2014",4,,
"ITF6","Calabria","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2013","2013",4,,
"ITF6","Calabria","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2014","2014",1,,
"ITF6","Calabria","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","NRP","non indicato","NRP","Non Indicato","2013","2013",4,,
"ITF6","Calabria","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","NRP","non indicato","NRP","Non Indicato","2014","2014",1,,
"ITG","Isole","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","NRP","Non Indicato","2013","2013",21,,
"ITG","Isole","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","NRP","Non Indicato","2014","2014",3,,
"ITG","Isole","USERS","utenti del 1522","OPERATORS","da operatori","M","maschi","NRP","Non Indicato","2013","2013",3,,
"ITG","Isole","USERS","utenti del 1522","FRIEND_ACQU","da parenti/amici/conoscenti","M","maschi","NRP","Non Indicato","2013","2013",1,,
"ITG","Isole","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","M","maschi","NRP","Non Indicato","2013","2013",17,,
"ITG","Isole","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","M","maschi","NRP","Non Indicato","2014","2014",3,,
"ITG","Isole","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2013","2013",73,,
